Q9U572 	1
Q9BX93 	1
Q8J0D2 	1
P28335 	1
Q96LA5 	1
Q92154 	1
Q76FP5 	1
P80961 	1
P07727 	1
Q05091 	1
P47178 	1
O08795 	1
P29459 	1
Q01528 	1
Q95JC9 	1
P02763 	1
Q05359 	1
P19425 	1
P01027 	1
P81264 	1
Q8NK90 	1
Q8SXL2 	1
P02466 	1
P26010 	1
P00719 	1
A9UGV5 	1
Q8N441 	1
P20013 	1
A1IKL2 	1
P15309 	1
O95711 	1
Q92643 	1
Q15768 	1
P0DSJ6 	1
P12729 	1
P67876 	1
P15516 	1
P19667 	1
P13691 	1
Q99013 	1
Q8N766 	1
Q20224 	1
Q86WA6 	1
P83234 	1
F1AWB0 	1
Q8C1Q4 	1
P24052 	1
Q00017 	1
Q6UX46 	1
Q8NBJ9 	1
Q9NPF0 	1
Q9H7M9 	1
P06865 	1
O00092 	1
P21837 	1
L8BRS3 	1
Q6UX52 	1
P32004 	1
Q90WJ9 	1
Q9UBN6 	1
P04639 	1
Q9BZR6 	1
Q8BSU2 	1
C0HKM3 	1
Q8JFQ0 	1
P42578 	1
Q969N2 	1
P09619 	1
P38660 	1
Q8T113 	1
P01538 	1
P51868 	1
P13598 	1
Q95NK7 	1
O18998 	1
O60931 	1
P19438 	1
P33559 	1
P01221 	1
Q6UW56 	1
Q9NPR2 	1
Q8NBI3 	1
P10820 	1
Q13421 	1
Q9UVI4 	1
Q26994 	1
Q28143 	1
Q52085 	1
P13611 	1
Q7M418 	1
P09341 	1
O14786 	1
P0DUS6 	1
Q01129 	1
P22301 	1
P81511 	1
Q02862 	1
P18428 	1
Q9Y251 	1
P17948 	1
Q9SLP4 	1
B2NHN2 	1
Q5B833 	1
Q63191 	1
Q9NSA1 	1
P52798 	1
P86929 	1
A0A482A9N4 	1
P09486 	1
Q90W22 	1
Q2ULM2 	1
F2QXM5 	1
O76942 	1
P04217 	1
Q9V496 	1
Q9P246 	1
P52823 	1
I6S390 	1
C0HL38 	1
Q9SUQ8 	1
P05117 	1
P15018 	1
P43077 	1
Q9Y6C2 	1
P01189 	1
P16144 	1
P12273 	1
P32802 	1
P33487 	1
Q9ES58 	1
P16235 	1
P62520 	1
P93484 	1
Q6T6C2 	1
O13547 	1
P07141 	1
P0DPU9 	1
P83313 	1
B0CPC6 	1
P06911 	1
A0A5C2A2T2 	1
Q13162 	1
F1NSM7 	1
P0DMD3 	1
Q7Z1K3 	1
P14630 	1
P31419 	1
P79208 	1
Q9NJ98 	1
Q05928 	1
O62605 	1
Q08481 	1
Q02596 	1
Q9NQ25 	1
P02814 	1
Q9Y5Q6 	1
Q91055 	1
Q07081 	1
Q9BZM5 	1
P13725 	1
P26732 	1
Q91XZ4 	1
P0C1B3 	1
Q9GSA4 	1
Q8MVA6 	1
P23142 	1
G3MYZ3 	1
P58154 	1
Q43413 	1
P08541 	1
Q8WUJ3 	1
P15270 	1
P42705 	1
Q6UXB2 	1
P25236 	1
Q06K77 	1
A0A8T9EMC0 	1
