P11150 	1	1
O70280 	1	1
Q96DU3 	1	1
O01949 	1	1
Q63415 	1	1
P0DPU8 	1	1
Q64385 	1	1
Q9GZX6 	1	1
Q9NYY1 	1	1
P21128 	1	1
Q96F46 	1	1
Q9PVW8 	1	1
P58912 	1	1
P04706 	1	1
Q9Y240 	1	1
P31608 	1	1
Q86T13 	1	1
Q9Y5U5 	1	1
P28319 	1	1
P04062 	1	1
P14384 	1	1
P01033 	1	1
P22864 	1	1
Q9MYV1 	1	1
P11215 	1	1
P0DPU7 	1	1
P83958 	1	1
Q8NC67 	1	1
G5ED35 	1	1
P27613 	1	1
P0CX77 	1	1
Q9UKY0 	1	1
P91745 	1	1
Q01638 	1	1
P08091 	1	1
P35053 	1	1
Q6WN34 	1	1
Q1HAY7 	1	1
P19324 	1	1
Q9UHF4 	1	1
Q5XM24 	1	1
P20757 	1	1
Q6RG02 	1	1
A0A2I6QB00 	1	1
P82143 	1	1
Q06K61 	1	1
P20068 	1	1
Q76FB0 	1	1
D3GDK4 	1	1
P33767 	1	1
Q10ST8 	1	1
Q9NRM6 	1	1
Q9VMD9 	1	1
P15261 	1	1
P34951 	1	1
E0D877 	1	1
P02702 	1	1
P67788 	1	1
P26842 	1	1
Q6ASY2 	1	1
P11654 	1	1
Q9TVX3 	1	1
P31420 	1	1
P91629 	1	1
Q9HBE5 	1	1
P10257 	1	1
Q62867 	1	1
Q8H8C7 	1	1
Q9N4D8 	1	1
P20333 	1	1
O14791 	1	1
Q27309 	1	1
P14448 	1	1
O62680 	1	1
P83472 	1	1
Q9GU69 	1	1
P53616 	1	1
P21828 	1	1
Q27967 	1	1
P32478 	1	1
Q15465 	1	1
P30438 	1	1
Q39688 	1	1
P81623 	1	1
Q556R7 	1	1
O54861 	1	1
P0DQB8 	1	1
O35310 	1	1
Q99519 	1	1
C0H9B6 	1	1
B4FZ87 	1	1
P25068 	1	1
P19069 	1	1
P18709 	1	1
O76537 	1	1
B0XT72 	1	1
P85261 	1	1
P43174 	1	1
Q94K85 	1	1
Q9H1M4 	1	1
P16112 	1	1
P00533 	1	1
P01364 	1	1
Q90ZY0 	1	1
Q12546 	1	1
P61312 	1	1
P20797 	1	1
Q39649 	1	1
P23389 	1	1
O61668 	1	1
P33577 	1	1
